motivacion,infracciones,porcentaje
"LOS CONDUCTORES Y OCUPANTES DE LOS VEHÍCULOS DEBEN DE CUMPLIR CON LAS DISPOSICIONES DE SEGURIDAD INDICADAS EN EL PRESENTE ARTÍCULO DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. ADICIONALMENTE, LOS MOTOCICLISTAS DEBEN: UTILIZAR CASCO PROTECTOR DISEÑADO ESPECÍFICAMENTE PARA MOTOCICLISTAS Y ASEGURARSE QUE LOS ACOMPAÑANTES TAMBIÉN LO USEN; ÉSTE DEBE ESTAR CORRECTAMENTE COLOCADO EN LA CABEZA Y ABROCHADO; Y",5578,0.12
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: A LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS: UTILIZAR TELÉFONO CELULAR O CUALQUIER DISPOSITIVO DE COMUNICACIÓN MIENTRAS EL VEHÍCULO ESTÉ EN MOVIMIENTO, CUALQUIER MANIPULACIÓN DEBERÁ HACERSE CON EL VEHÍCULO DETENIDO;",5418,0.12
"LOS VEHÍCULOS MOTORIZADOS QUE CIRCULEN EN EL TERRITORIO DEL DISTRITO FEDERAL DEBEN DE CONTAR CON: PLACAS DE MATRÍCULA FRONTAL Y POSTERIOR, O PERMISO PROVISIONAL VIGENTES CORRESPONDIENTE AL TIPO DE VEHÍCULO, O EN SU DEFECTO, LA COPIA CERTIFICADA DE LA DENUNCIA DE LA PÉRDIDA DE LAS PLACAS DE MATRÍCULA ANTE EL AGENTE DEL MINISTERIO PÚBLICO O LA CONSTANCIA DE HECHOS ANTE EL JUEZ CÍVICO, LA CUAL NO DEBERÁ EXCEDER DEL TÉRMINO DE 10 DÍAS HÁBILES A PARTIR DE LA FECHA DE SU EXPEDICIÓN; MISMOS QUE DEBERÁN: ESTAR COLOCADAS EN EL LUGAR DESTINADO POR EL FABRICANTE DEL VEHÍCULO;",5415,0.12
"LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS DEBEN CUMPLIR CON LOS REQUISITOS LEGALES ESPECIFICADOS POR CADA TIPO DE VEHÍCULO DEL QUE SE TRATE: CONDUCTORES DE VEHÍCULOS MOTORIZADOS DE USO PARTICULAR, INCLUYENDO A MOTOCICLISTAS, DEBEN: CUANDO SEAN MAYORES DE EDAD, PORTAR LICENCIA VIGENTE CORRESPONDIENTE AL TIPO DE VEHÍCULO.",5027,0.11
SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: SOBRE LAS VÍAS EN DOBLE O MÁS FILAS;,5009,0.11
"QUEDA PROHIBIDO A LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE DE CARGA: CIRCULAR POR CARRILES CENTRALES Y SEGUNDOS NIVELES DE LAS VÍAS DE ACCESO CONTROLADO CUANDO SE TRATE DE VEHÍCULOS DE PESO BRUTO VEHICULAR DE DISEÑO SUPERIOR A 3,857 KG O DONDE EL SEÑALAMIENTO RESTRICTIVO ASÍ LO INDIQUE, Y",4670,0.1
LOS VEHÍCULOS MOTORIZADOS QUE CIRCULEN EN EL TERRITORIO DEL DISTRITO FEDERAL DEBEN DE CONTAR CON: TARJETA DE CIRCULACIÓN VIGENTE.,3657,0.08
"INGRESO A DEPOSITO POR ORDENAMIENTO JUDICIAL, ACTA ADMINISTRATIVA O EMBARGO",2988,0.07
"LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS DEBEN: INDICAR LA DIRECCIÓN DE SU GIRO O CAMBIO DE CARRIL, MEDIANTE LUCES DIRECCIONALES, EN CASO DE VEHÍCULOS NO MOTORIZADOS, PODRÁ INDICARSE MEDIANTE SEÑAS;",2740,0.06
"PARA EFECTO DE VERIFICAR SI EL CONDUCTOR DEL VEHÍCULO MOTORIZADO MANEJA BAJO LOS EFECTOS DEL ALCOHOL, NARCÓTICOS, ESTUPEFACIENTES O PSICOTRÓPICOS, LOS ELEMENTOS DE SEGURIDAD PÚBLICA PUEDEN DETENER LA MARCHA DE UN VEHÍCULO MOTORIZADO EN: CUANDO EL CONDUCTOR SOBREPASE LA CANTIDAD DE ALCOHOL PERMITIDA CONFORME AL ARTÍCULO 50 DE ESTE ORDENAMIENTO, EL VEHÍCULO SERÁ REMITIDO AL DEPÓSITO VEHICULAR, SALVO QUE ALGÚN ACOMPAÑANTE DEL CONDUCTOR CON PLENA AUTORIZACIÓN DEL MISMO, PUEDA CONDUCIR EL VEHÍCULO EN LOS TÉRMINOS DEL PRESENTE REGLAMENTO. SI EL ACOMPAÑANTE PRESENTA ALIENTO ALCOHÓLICO, ÉSTE SERÁ VALORADO POR EL MÉDICO DEL PUNTO DE REVISIÓN Y DEPENDIENDO DEL RESULTADO, SE DETERMINARÁ SI PROCEDE O NO LA ENTREGA DEL VEHÍCULO. CUANDO EL VEHÍCULO SEA REMITIDO A UN DEPÓSITO VEHICULAR, EL CONDUCTOR DEBERÁ CUBRIR LOS RESPECTIVOS DERECHOS POR CONCEPTO DEL SERVICIO DE ARRASTRE Y ALMACENAJE DEL VEHÍCULO, CONFORME LO DETERMINE EL CÓDIGO FISCAL PARA EL DISTRITO FEDERAL.",2660,0.06
"LOS CONDUCTORES DE VEHÍCULOS DEBEN CERCIORARSE DE QUE SU VEHÍCULO ESTÉ PROVISTO DE LOS SIGUIENTES ELEMENTOS, DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. CONDUCTORES DE TODO VEHÍCULO MOTORIZADO: FAROS DELANTEROS, QUE CUMPLAN CON LAS NORMAS OFICIALES MEXICANAS, DOTADOS DE UN MECANISMO PARA CAMBIO DE INTENSIDAD;",2584,0.06
"AUN CUANDO SE ENCUENTRE PRESENTE EL CONDUCTOR O ALGUNA OTRA PERSONA, LOS VEHÍCULOS MOTORIZADOS ESTACIONADOS SERÁN INMOVILIZADOS POR EL AGENTE, CUANDO LOS VEHÍCULOS SE ENCUENTREN ESTACIONADOS EN ZONAS EN LAS QUE EXISTAN SISTEMAS DE COBRO POR ESTACIONAMIENTO EN VÍA PÚBLICA, EN LOS SIGUIENTES CASOS EL VEHÍCULO ESTACIONADO NO COINCIDA, POR SUS DIMENSIONES O NATURALEZA, CON EL TIPO DE VEHÍCULO AL QUE ESTÁ DESTINADO EL CAJÓN, DE ACUERDO A LO INDICADO POR EL SEÑALAMIENTO, INCLUIDAS LAS MOTOCICLETAS QUE DEBEN SER ESTACIONADAS EN LOS LUGARES ESPECIALES PARA ESE TIPO DE VEHÍCULO",2329,0.05
SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: DAR VUELTA EN ¿U¿ CERCA DE UNA CURVA Y DONDE EL SEÑALAMIENTO RESTRICTIVO EXPRESAMENTE LO PROHÍBA;,2035,0.05
SE PROHÍBE A LOS CONDUCTORES DE MOTOCICLETAS: CIRCULAR POR LOS CARRILES CENTRALES DE LAS VÍAS DE ACCESO CONTROLADO CUANDO UTILICEN VEHÍCULOS MENORES A 250 CENTÍMETROS CÚBICOS;,1977,0.04
"SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN EL COSTADO IZQUIERDO DE LA VÍA CUANDO EXISTAN CAMELLONES CENTRALES, LATERALES O ISLAS, ASÍ COMO EN LAS GLORIETAS, SALVO QUE LAS MARCAS EN EL PAVIMENTO Y EL SEÑALAMIENTO LO PERMITA;",1967,0.04
"LOS CONDUCTORES Y OCUPANTES DE LOS VEHÍCULOS DEBEN DE CUMPLIR CON LAS DISPOSICIONES DE SEGURIDAD INDICADAS EN EL PRESENTE ARTÍCULO DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. ADICIONALMENTE, LOS MOTOCICLISTAS DEBEN: CIRCULAR TODO TIEMPO CON LAS LUCES TRASERAS Y DELANTERAS ENCENDIDAS;",1919,0.04
"SE PROHÍBE A LOS CONDUCTORES DE MOTOCICLETAS: CIRCULAR ENTRE CARRILES, SALVO CUANDO EL TRÁNSITO VEHICULAR SE ENCUENTRE DETENIDO Y BUSQUE COLOCARSE EN EL ÁREA DE ESPERA PARA MOTOCICLETAS O EN UN LUGAR VISIBLE PARA REINICIAR LA MARCHA, SIN INVADIR LOS PASOS PEATONALES;",1858,0.04
"ADEMÁS DE LO DISPUESTO EN EL CAPÍTULO II DE ESTE TÍTULO, LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE PÚBLICO DE PASAJEROS DEBEN: HACER BASE O ESTACIONAR SU VEHÍCULO EN LUGAR AUTORIZADO O EN LOS LUGARES DE ENCIERRO O GUARDA CORRESPONDIENTE EN HORARIOS EN QUE NO SE PRESTE SERVICIO; Y",1841,0.04
QUEDA PROHIBIDO A LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE DE CARGA: HACER BASE O ESTACIONAR SU VEHÍCULO FUERA DE UN LUGAR AUTORIZADO O DE LOS SITIOS DE ENCIERRO O GUARDA CORRESPONDIENTES.,1757,0.04
"SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: DETENERSE EN SITIOS DONDE EXISTA SEÑALAMIENTO RESTRICTIVO QUE ASÍ LO INDIQUE, O CUANDO LA GUARNICIÓN DE LA ACERA SEA DE COLOR ROJO, EXCEPTO PARA RESPETAR LA LUZ ROJA DE UN SEMÁFORO O POR INDICACIÓN DE UN AGENTE;",1319,0.03
"LOS CONDUCTORES DE VEHÍCULOS DEBEN CERCIORARSE DE QUE SU VEHÍCULO ESTÉ PROVISTO DE LOS SIGUIENTES ELEMENTOS, DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. CONDUCTORES DE TODO VEHÍCULO MOTORIZADO: CUARTOS DELANTEROS, DE LUZ AMARILLA O BLANCA Y CUARTOS TRASEROS DE LUZ ROJA;",1254,0.03
SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN LOS DEMÁS LUGARES QUE LA SECRETARÍA Y SEGURIDAD PÚBLICA DETERMINEN; Y,1224,0.03
SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: REALIZAR UN MOVIMIENTO DIFERENTE A LO INDICADO POR LA SEÑALIZACIÓN VIAL SOBRE CARRILES DESTINADOS PARA GIROS A LA DERECHA O IZQUIERDA;,1202,0.03
"SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: CIRCULAR O DETENERSE EN ÁREAS RESTRINGIDAS QUE ESTÉN DELIMITADAS POR MARCAS EN EL PAVIMENTO, INCLUYENDO LAS ÁREAS SEÑALADAS PARA EL ESTACIONAMIENTO EN VÍA PÚBLICA U OTROS DISPOSITIVOS PARA EL CONTROL DEL TRÁNSITO QUE ESTABLEZCAN ESTE IMPEDIMENTO, EN ESPECIAL:CIRCULAR SOBRE VÍAS CICLISTAS A EXCEPCIÓN QUE SE TRATE DE VEHÍCULOS NO MOTORIZADOS.",1188,0.03
"LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS DEBERÁN ACATAR LOS PROGRAMAS AMBIENTALES Y NO CIRCULAR EN VEHÍCULOS QUE TENGAN RESTRICCIONES Y/O EN LAS ECOZONAS O ZONAS DE MOVILIDAD SUSTENTABLE, LOS DÍAS Y HORAS CORRESPONDIENTES. AQUELLOS QUE INCUMPLAN CON LO ESTABLECIDO EN ESTE ARTÍCULO.",1173,0.03
"LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS DEBEN: CIRCULAR EN EL SENTIDO QUE INDIQUE LA VÍA; TRATÁNDOSE DE VÍAS REVERSIBLES, RESPETAR LOS TRAMOS Y HORARIOS QUE DETERMINE LA AUTORIDAD COMPETENTE Y EN CASO DE TRATARSE DE VÍAS DE DOBLE SENTIDO, CIRCULAR EN EL COSTADO DERECHO DE LA VÍA, EVITANDO DESLUMBRAR A LOS CONDUCTORES DEL SENTIDO CONTRARIO",1122,0.03
"ADEMÁS DE LO DISPUESTO EN EL CAPÍTULO II DE ESTE TÍTULO, LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE PÚBLICO DE PASAJEROS DEBEN: CIRCULAR CON LAS PORTEZUELAS CERRADAS, PERMITIENDO EL ASCENSO O DESCENSO DE PASAJEROS SÓLO CUANDO EL VEHÍCULO ESTÉ TOTALMENTE DETENIDO;",1027,0.02
"SE PROHÍBE A LOS CONDUCTORES DE MOTOCICLETAS: CIRCULAR SOBRE LAS ACERAS Y ÁREAS RESERVADAS AL USO EXCLUSIVO DE PEATONES; SALVO QUE EL CONDUCTOR INGRESE A SU DOMICILIO O A UN ESTACIONAMIENTO, DEBE DESMONTAR;",965,0.02
"ADEMÁS DE LO DISPUESTO EN EL CAPÍTULO II DE ESTE TÍTULO, LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE DE CARGA DEBEN: REALIZAR MANIOBRAS DE CARGA Y DESCARGA EN LUGARES SEGUROS, SIN AFECTAR O INTERRUMPIR EL TRÁNSITO VEHICULAR.",960,0.02
"SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN BATERÍA, CON EXCEPCIÓN DE BICICLETAS Y MOTOCICLETAS O QUE UN SEÑALAMIENTO ASÍ LO PERMITA;",944,0.02
"SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN LOS CARRILES EXCLUSIVOS, CONFINADOS Y/O PRIORITARIOS DE TRANSPORTE PÚBLICO;",881,0.02
"EN LA VÍA PÚBLICA ESTÁ PROHIBIDO: EFECTUAR REPARACIONES A VEHÍCULOS, SALVO EN CASOS DE EMERGENCIA;",862,0.02
"AUN CUANDO SE ENCUENTRE PRESENTE EL CONDUCTOR O ALGUNA OTRA PERSONA,  LOS VEHÍCULOS CON PLACAS FORÁNEAS QUE SE ENCUENTREN ESTACIONADOS EN ZONAS EN LAS QUE EXISTAN SISTEMAS DE COBRO POR ESTACIONAMIENTO EN VÍA PÚBLICA, EN LOS SIGUIENTES CASOS: EN CASO DE HABER COMPROBANTE DE PAGO, ÉSTE NO SEA VISIBLE DESDE EL EXTERIOR DEL VEHÍCULO, EL NÚMERO DE PLACAS DE MATRÍCULA NO COINCIDA O LA FECHA DEL COMPROBANTE SEA DISTINTA",857,0.02
SE PROHÍBE UTILIZAR O INSTALAR EN VEHÍCULOS: DISPOSITIVOS LUMINOSOS O ACÚSTICOS SIMILARES A LOS UTILIZADOS POR VEHÍCULOS DE EMERGENCIA;,786,0.02
"QUEDA PROHIBIDO CONDUCIR VEHÍCULOS MOTORIZADOS CUANDO SE TENGA UNA CANTIDAD DE ALCOHOL EN LA SANGRE SUPERIOR A 0.8 GRAMOS POR LITRO O DE ALCOHOL EN AIRE ESPIRADO SUPERIOR A 0.4 MILIGRAMOS POR LITRO, ASÍ COMO BAJO EL INFLUJO DE NARCÓTICOS, ESTUPEFACIENTES O PSICOTRÓPICOS AL CONDUCIR.",758,0.02
LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS DEBEN CUMPLIR CON LOS REQUISITOS LEGALES ESPECIFICADOS POR CADA TIPO DE VEHÍCULO DEL QUE SE TRATE: CONDUCTORES DE VEHÍCULOS DE TRANSPORTE PÚBLICO DE PASAJEROS DEBEN: CONDUCIR CON LICENCIA VIGENTE CORRESPONDIENTE AL TIPO DE VEHÍCULO;,704,0.02
"SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: CIRCULAR O DETENERSE EN ÁREAS RESTRINGIDAS QUE ESTÉN DELIMITADAS POR MARCAS EN EL PAVIMENTO, INCLUYENDO LAS ÁREAS SEÑALADAS PARA EL ESTACIONAMIENTO EN VÍA PÚBLICA U OTROS DISPOSITIVOS PARA EL CONTROL DEL TRÁNSITO QUE ESTABLEZCAN ESTE IMPEDIMENTO, EN ESPECIAL: CIRCULAR SOBRE VÍAS CICLISTAS A EXCEPCIÓN QUE SE TRATE DE VEHÍCULOS NO MOTORIZADOS.",693,0.02
LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS DEBEN CUMPLIR CON LOS REQUISITOS LEGALES ESPECIFICADOS POR CADA TIPO DE VEHÍCULO DEL QUE SE TRATE: LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE DE CARGA DEBEN: CONDUCIR CON LICENCIA VIGENTE CORRESPONDIENTE AL TIPO DE VEHÍCULO;,668,0.01
"LOS VEHÍCULOS MOTORIZADOS QUE CIRCULEN EN EL TERRITORIO DEL DISTRITO FEDERAL DEBEN DE CONTAR CON: PLACAS DE MATRÍCULA FRONTAL Y POSTERIOR, O PERMISO PROVISIONAL VIGENTES CORRESPONDIENTE AL TIPO DE VEHÍCULO, O EN SU DEFECTO, LA COPIA CERTIFICADA DE LA DENUNCIA DE LA PÉRDIDA DE LAS PLACAS DE MATRÍCULA ANTE EL AGENTE DEL MINISTERIO PÚBLICO O LA CONSTANCIA DE HECHOS ANTE EL JUEZ CÍVICO, LA CUAL NO DEBERÁ EXCEDER DEL TÉRMINO DE 10 DÍAS HÁBILES A PARTIR DE LA FECHA DE SU EXPEDICIÓN; MISMOS QUE DEBERÁN: ENCONTRARSE LIBRES DE CUALQUIER OBJETO O SUSTANCIA QUE DIFICULTE U OBSTRUYA SU VISIBILIDAD O SU REGISTRO, ASÍ COMO LUCES DE NEÓN ALREDEDOR;",662,0.01
"EN LA VÍA PÚBLICA ESTÁ PROHIBIDO: ORGANIZAR O PARTICIPAR EN COMPETENCIAS VEHICULARES DE ALTA VELOCIDAD, ACROBACIAS Y DEMÁS MANIOBRAS RIESGOSAS;",660,0.01
LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS DEBEN CUMPLIR CON LOS REQUISITOS LEGALES ESPECIFICADOS POR CADA TIPO DE VEHÍCULO DEL QUE SE TRATE: CONDUCTORES DE VEHÍCULOS DE TRANSPORTE PÚBLICO DE PASAJEROS DEBEN: PORTAR EL TARJETÓN A LA VISTA DEL PASAJERO;,651,0.01
